"Player","Rank","ADP","Diff","Finish2024","Team","Pos","PosRank","Notes","id"
"Devaughn Vele","239","215.8","-0.11","186","NO","WR","93","","c52baf98-fb75-4227-9701-7b1b57eea6f7"
"Jalen Nailor","240","215.4","-0.11","","MIN","WR","94","","99768dcd-9aea-40e2-9abb-e3644b8f69f0"
"Olamide Zaccheaus","241","214.9","-0.12","","CHI","WR","95","","09ae0fa0-b89b-4e5a-a120-aca14903bca2"
"Jack Bech","242","213","-0.14","","LV","WR","96","Rookie","3506f452-2e97-46e6-be4b-e79fed5b3491"
"Malik Washington","243","206.7","-0.18","","MIA","WR","97","","43ea5795-c57d-463f-af6d-23685089f41f"
"Noah Gray","244","215.2","-0.13","174","KC","TE","34","","a18edd62-1cc8-484e-b729-3f9c591887ad"
"Kayshon Boutte","245","215.5","-0.14","","NE","WR","98","","0ddf9b70-527e-4bb6-8018-b1a0b49ba29c"
"Tutu Atwell","246","215.4","-0.14","253","LA","WR","99","","5ac44ad0-e9ce-44d0-9bf7-82950d46bd63"
"Tyler Lockett","247","214","-0.15","203","TEN","WR","100","","d8b3c731-9054-4d15-a4ee-e12beb4825fa"
"Trevor Etienne","248","215.8","-0.15","","CAR","RB","79","Rookie","8aa163b7-5f2f-4ed5-a721-79fd60ba544e"
"Isaiah Davis","249","215.9","-0.15","204","NYJ","RB","80","","6740daf6-d0f8-46cd-ae2c-7dc4774b6de0"
"KaVontae Turpin","250","215.2","-0.16","216","DAL","WR","101","","139d7f99-b270-4a99-832b-41bf0deb358f"
"Jalen McMillan","251","210.7","-0.19","79","TB","WR","102","","2b703cdf-19c6-44bc-9061-11994c555ce9"
"Dontayvion Wicks","252","215.6","-0.17","178","GB","WR","103","","5938bf65-bd79-454f-921a-94d0b1a4c3b4"
"Terrance Ferguson","253","215.3","-0.18","","LA","TE","35","Rookie","5d5c4fb2-51dc-40da-9f65-785ee09f784e"
"Elijah Arroyo","254","209.2","-0.21","","SEA","TE","36","Rookie","c9fab627-9cbf-4cfe-b2fa-288604ae1755"
"Noah Fant","255","215.9","-0.18","","CIN","TE","37","","49d00288-8c14-4e07-a415-8954c227c9cc"
"Tyler Higbee","256","215.3","-0.19","","LA","TE","38","","ef67177a-49c1-49d1-a6df-20ae9588b890"
"Pat Freiermuth","257","213.6","-0.2","140","PIT","TE","39","","49d82bda-e7fe-487a-83ab-0f4bd9e431d1"
"Cole Kmet","258","215.4","-0.2","133","CHI","TE","40","","dc435bd0-ebd3-479f-b9bf-529569dff43c"
"Jalen Milroe","259","215.7","-0.2","","SEA","QB","36","Rookie","58c31228-6972-47f8-a167-e7fac175f5bb"
"Noah Brown","260","215.7","-0.21","","WAS","WR","104","","60c195a8-e9c9-4f75-8551-537d3ec25c6d"
"Jalen Tolbert","261","215.8","-0.21","155","DAL","WR","105","","d85fae4b-67cb-4828-93ad-d968f275c6d5"
"Marquez Valdes-Scantling","262","215.9","-0.21","128","SF","WR","106","","8781a0c7-14b6-4c09-bf75-0a9da0bd9a31"
"Jalen Royals","263","214.3","-0.23","","KC","WR","107","Rookie","a46b6ee1-e38e-48cc-9d43-0917418812fc"
"Jahan Dotson","264","215.8","-0.22","268","PHI","WR","108","","c423d62d-5442-42d4-a157-331f61d8c0a8"
"Christian Watson","265","215.4","-0.23","","GB","WR","109","","6212d548-a31d-4690-8de8-b8313672a462"
"Nick Westbrook-Ikhine","266","215.8","-0.23","105","MIA","WR","110","","33f93253-33a6-4e0f-8d93-815366d14090"
"Oronde Gadsden","267","215.7","-0.24","","LAC","TE","41","Rookie","e7bd3b67-74c9-40f4-a747-d67e35c609fb"
"Ben Sinnott","268","215.8","-0.24","","WAS","TE","42","","da6aa094-cee3-40a8-aef1-4a8941967c3f"
